id,acquired,satellite_id,sun_elevation,pixel_resolution,cloud_cover,anomalous_pixels,sun_azimuth,view_angle,usable_data,item_type,gsd
20170131_181006_1354107_RapidEye-4,2017-01-31T18:10:06Z,RapidEye-4,37.53698,5,0,0,158.42835,10.08918,1,REOrthoTile,6.5
20170104_182441_1354107_RapidEye-5,2017-01-04T18:24:41Z,RapidEye-5,33.71763,5,0,0.17,166.61579,-6.43618,0.83,REOrthoTile,6.5
20161106_182735_1354107_RapidEye-3,2016-11-06T18:27:35Z,RapidEye-3,40.94409,5,0,0.64,172.44664,-16.48367,0.36,REOrthoTile,6.5
20140126_185107_1354107_RapidEye-2,2014-01-26T18:51:07Z,RapidEye-2,38.4834,5,0,0.24,171.16938,3.59867,0.76,REOrthoTile,6.5
20160410_182535_1354107_RapidEye-3,2016-04-10T18:25:35Z,RapidEye-3,63.85926,5,0,0,155.1041,6.76948,1,REOrthoTile,6.5
20160409_183134_1354107_RapidEye-2,2016-04-09T18:31:34Z,RapidEye-2,63.98945,5,0.73,0.99,158.41702,10.24582,0.01,REOrthoTile,6.5
20160226_184502_1354107_RapidEye-1,2016-02-26T18:45:02Z,RapidEye-1,47.96265,5,0,0.85,166.81648,-12.98251,0.15,REOrthoTile,6.5
20160227_184830_1354107_RapidEye-2,2016-02-27T18:48:30Z,RapidEye-2,48.49895,5,0,0.9,168.03664,-12.86922,0.1,REOrthoTile,6.5
20160228_182318_1354107_RapidEye-4,2016-02-28T18:23:18Z,RapidEye-4,47.35592,5,0,0.91,158.93095,6.79384,0.09,REOrthoTile,6.5
20160418_183752_1354107_RapidEye-1,2016-04-18T18:37:52Z,RapidEye-1,67.69483,5,0.07,0.07,160.96608,-3.09242,0.93,REOrthoTile,6.5
20160414_183624_1354107_RapidEye-2,2016-04-14T18:36:24Z,RapidEye-2,66.17829,5,0,0.01,160.54192,6.98631,0.99,REOrthoTile,6.5
20151229_182926_1354107_RapidEye-5,2015-12-29T18:29:26Z,RapidEye-5,33.50773,5,0.11,0.32,168.89635,6.38871,0.68,REOrthoTile,6.5
20160302_183308_1354107_RapidEye-2,2016-03-02T18:33:08Z,RapidEye-2,49.18709,5,0,0,162.16913,13.60548,1,REOrthoTile,6.5
20151120_182902_1354107_RapidEye-4,2015-11-20T18:29:02Z,RapidEye-4,37.48586,5,0,0,172.80627,6.75017,1,REOrthoTile,6.5
20150924_183133_1354107_RapidEye-4,2015-09-24T18:31:33Z,RapidEye-4,56.32767,5,0.16,0.16,167.24084,3.42845,0.84,REOrthoTile,6.5
